

gen best mean std
0 88.516415 10.553321 25.579945
1 90.723246 33.755539 36.757058
2 91.716168 38.920463 40.212316
3 90.451679 50.227779 40.229136
4 89.350924 51.211215 40.022725
5 90.733561 67.892974 34.07055
6 91.0899 70.667012 30.079453
7 91.352828 76.76701 24.035911
8 90.826268 71.317126 29.660513
9 90.919688 70.41635 29.642046
10 91.039688 69.596232 30.879615
11 91.099688 79.519746 22.175845
12 91.039688 74.623034 27.721131
13 91.099688 78.195982 24.627398
14 91.099688 76.696187 25.672812
15 91.099688 84.971242 16.827679
16 91.099688 85.745056 17.706554
17 91.099688 84.928265 18.123893
18 91.099688 86.515912 14.865335
19 91.099688 88.696649 8.718815
20 91.099688 89.042774 8.116255
21 91.099688 90.756624 3.4014
22 91.099688 90.757315 3.400546
23 91.099688 90.413559 4.785776
24 91.099688 91.099688 0.0
25 91.099688 91.099688 0.0
26 91.099688 91.099688 0.0
27 91.099688 91.099688 0.0
28 91.099688 91.099688 0.0
29 91.099688 91.099688 0.0
